Timestamp,Eye State,Score
2023-10-11 14:28:20,0,0
2023-10-11 14:28:21,0,0
2023-10-11 14:28:21,1,1
2023-10-11 14:28:22,0,0
2023-10-11 14:28:22,0,0
2023-10-11 14:28:22,1,1
2023-10-11 14:28:23,1,2
2023-10-11 14:28:23,1,3
2023-10-11 14:28:24,1,4
2023-10-11 14:28:24,1,5
2023-10-11 14:28:24,1,6
2023-10-11 14:28:25,0,5
2023-10-11 14:28:25,1,6
2023-10-11 14:28:26,1,7
2023-10-11 14:28:26,1,8
2023-10-11 14:28:27,0,7
2023-10-11 14:28:27,0,6
2023-10-11 14:28:27,0,5
2023-10-11 14:28:28,0,4
2023-10-11 14:28:28,0,3
2023-10-11 14:28:29,0,2
2023-10-11 14:28:29,1,3
2023-10-11 14:28:30,0,2
2023-10-11 14:28:30,1,3
2023-10-11 14:28:31,1,4
2023-10-11 14:28:31,1,5
2023-10-11 14:28:32,1,6
2023-10-11 14:28:32,1,7
2023-10-11 14:28:33,1,8
2023-10-11 14:28:33,1,9
2023-10-11 14:28:33,1,10
2023-10-11 14:28:34,1,11
2023-10-11 14:28:34,0,10
2023-10-11 14:28:35,0,9
2023-10-11 14:28:35,0,8
2023-10-11 14:28:36,0,7
2023-10-11 14:28:36,0,6
2023-10-11 14:28:37,0,5
2023-10-11 14:28:37,0,4
2023-10-11 14:28:38,0,3
2023-10-11 14:28:38,0,2
2023-10-11 14:28:39,0,1
2023-10-11 14:28:39,0,0
2023-10-11 14:28:40,0,0
2023-10-11 14:28:40,0,0
2023-10-11 14:28:40,0,0
2023-10-11 14:28:41,0,0
2023-10-11 14:28:41,0,0
2023-10-11 14:28:42,1,1
2023-10-11 14:28:42,1,2
2023-10-11 14:28:43,1,3
2023-10-11 14:28:43,1,4
2023-10-11 14:28:44,0,3
2023-10-11 14:28:44,0,2
2023-10-11 14:28:45,0,1
2023-10-11 14:28:45,0,0
2023-10-11 14:28:45,0,0
2023-10-11 14:28:46,0,0
2023-10-11 14:28:46,1,1
2023-10-11 14:28:47,0,0
2023-10-11 14:28:47,1,1
2023-10-11 14:28:47,1,2
2023-10-11 14:28:48,1,3
2023-10-11 14:28:48,0,2
2023-10-11 14:28:49,1,3
2023-10-11 14:28:49,1,4
2023-10-11 14:28:50,1,5
2023-10-11 14:28:50,0,4
2023-10-11 14:28:50,1,5
2023-10-11 14:28:51,1,6
2023-10-11 14:28:51,0,5
2023-10-11 14:28:52,1,6
2023-10-11 14:28:52,1,7
2023-10-11 14:28:53,1,8
2023-10-11 14:28:53,1,9
2023-10-11 14:28:53,0,8
2023-10-11 14:28:54,1,9
2023-10-11 14:28:54,1,10
2023-10-11 14:28:55,1,11
2023-10-11 14:28:55,1,12
2023-10-11 14:28:55,1,13
2023-10-11 14:28:56,0,12
2023-10-11 14:28:56,1,13
2023-10-11 14:28:57,1,14
2023-10-11 14:28:57,1,15
2023-10-11 14:28:58,0,14
2023-10-11 14:28:58,1,15
2023-10-11 14:28:58,1,16
2023-10-11 14:28:59,1,17
2023-10-11 14:28:59,1,18
2023-10-11 14:29:00,0,17
2023-10-11 14:29:00,0,16
2023-10-11 14:29:01,0,15
2023-10-11 14:29:01,0,14
2023-10-11 14:29:02,0,13
2023-10-11 14:29:02,0,12
2023-10-11 14:29:03,1,13
2023-10-11 14:29:03,0,12
2023-10-11 14:29:04,0,11
2023-10-11 14:29:04,0,10
2023-10-11 14:29:04,0,9
2023-10-11 14:29:05,1,10
2023-10-11 14:29:05,1,11
2023-10-11 14:29:06,0,10
2023-10-11 14:29:06,0,9
2023-10-11 14:29:06,1,10
2023-10-11 14:29:07,1,11
2023-10-11 14:29:07,1,12
2023-10-11 14:29:08,1,13
2023-10-11 14:29:08,1,14
2023-10-11 14:29:09,1,15
2023-10-11 14:29:09,0,14
2023-10-11 14:29:10,1,15
2023-10-11 14:29:10,1,16
2023-10-11 14:29:10,0,15
2023-10-11 14:29:11,1,16
2023-10-11 14:29:11,1,17
2023-10-11 14:29:12,1,18
